日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa
2015/11/28,95.89257193,16.99999996,69.36036849,70.45275054
2015/11/29,95.97967227,16.99999996,69.34906179,70.43189117
2015/11/30,96.13177286,16.99999996,69.35556242,70.41107792
2015/12/1,96.33707365,16.99999996,69.35754186,70.39026392
2015/12/2,95.91427201,15.99999996,69.27862673,70.36950006
2015/12/3,95.66307104,15.99999996,69.07167583,70.34849091
2015/12/4,95.68757113,16.99999996,68.25351072,70.32745431
2015/12/5,95.70997122,14.99999997,67.89816664,70.30674388
2015/12/6,95.73877133,15.99999996,68.14349813,70.28580464
2015/12/7,95.52747051,15.99999996,69.18283699,70.26485065
2015/12/8,95.32016971,15.99999996,69.10712379,70.24394063
2015/12/9,87.38203892,13.99999997,68.23621174,70.22320897
2015/12/10,0,0,63.77413069,70.20437612
2015/12/11,0,0,63.93416683,70.18566161
2015/12/12,0,0,64.09415579,70.16684142
2015/12/13,82.16311868,13.99999997,68.33194362,70.14469874
2015/12/14,93.38036219,15.99999996,68.9565463,70.1231365
2015/12/15,92.79675992,15.99999996,68.78751459,70.10066493
2015/12/16,92.82576003,15.99999996,68.48467581,70.07833283
2015/12/17,92.81906001,16.99999996,68.83214071,70.05820505
2015/12/18,92.70375956,14.99999997,68.80907256,70.03530836
2015/12/19,92.74245971,15.99999996,68.80272082,70.01146813
2015/12/20,92.66975943,14.99999997,68.73151757,69.98767611
2015/12/21,92.559259,14.99999997,68.44512736,69.96384761
2015/12/22,92.45865861,15.99999996,68.6875211,69.93998885
2015/12/23,92.27245789,16.99999996,68.68848188,69.91623181
2015/12/24,92.4031584,15.99999996,68.63928999,69.89239437
2015/12/25,92.27085788,16.99999996,68.60385751,69.86859092
2015/12/26,92.21225766,15.99999996,68.53417641,69.84494684
2015/12/27,92.08055714,16.99999996,68.11868554,69.82133589
2015/12/28,92.04065699,14.99999997,68.5050699,69.79775813
2015/12/29,91.95975668,16.99999996,68.4857761,69.77421537
2015/12/30,86.4748354,14.99999997,68.27070778,69.75105523
2015/12/31,88.6138437,16.99999996,68.0988906,69.72762159
2016/1/1,88.60054365,15.99999996,68.37286843,69.70431185
2016/1/2,88.60574367,16.99999996,68.3734098,69.68108991
2016/1/3,88.59474362,16.99999996,68.36167419,69.65782818
2016/1/4,88.57104353,16.99999996,68.32743483,69.63461416
2016/1/5,88.57814356,16.99999996,68.31758327,69.61139016
2016/1/6,80.69301298,16.99999996,68.27631673,69.58903167
2016/1/7,86.65203609,16.99999996,68.20388583,69.56606421
2016/1/8,87.5561396,16.99999996,68.1163215,69.54315736
2016/1/9,88.94714499,15.99999996,68.21844024,69.52030056
2016/1/10,88.98614514,16.99999996,68.21193464,69.49736618
2016/1/11,89.00294521,16.99999996,68.18193091,69.47433293
2016/1/12,89.03894535,15.99999996,68.17511505,69.45140173
2016/1/13,88.99324517,16.99999996,68.1597393,69.42848961
2016/1/14,85.45643145,15.99999996,67.94468366,69.40565776
2016/1/15,88.31464254,15.99999996,68.05711913,69.38275708
2016/1/16,88.36544273,15.99999996,68.09418763,69.35974612
2016/1/17,88.16834197,16.99999996,68.20083806,69.33670364
2016/1/18,88.28274241,15.99999996,67.97963683,69.31373417
2016/1/19,88.24574227,16.99999996,68.00757236,69.29083388
2016/1/20,88.10354172,15.99999996,67.98219615,69.26784178
2016/1/21,80.55441244,14.99999997,68.14592879,69.24505363
2016/1/22,84.49472772,15.99999996,67.82698834,69.22218282
2016/1/23,88.98114512,16.99999996,67.89375765,69.19920593
2016/1/24,89.89684867,15.99999996,67.8951086,69.17624451
2016/1/25,90.16454971,16.99999996,67.83890784,69.15330085
2016/1/26,90.22624995,16.99999996,67.80316279,69.13033985
2016/1/27,90.32405033,16.99999996,67.79243049,69.10736105
2016/1/28,90.35015043,16.99999996,67.7740598,69.08403822
2016/1/29,90.50945105,16.99999996,67.75934154,69.06075988
2016/1/30,90.55475123,16.99999996,67.73245834,69.03745601
2016/1/31,90.50595104,16.99999996,67.69551157,69.01415121
2016/2/1,90.58265133,15.99999996,67.67199095,68.99089879
2016/2/2,90.8570524,15.99999996,67.62739628,68.96767338
2016/2/3,91.25695395,15.99999996,67.53303544,68.94444498
2016/2/4,91.49855489,16.99999996,67.60142242,68.92122331
